stock_id,QLIKE,RMSPE%,MAPE%,RMSE,MSE_rv,MAE_log,MSE_log_rv
stock_77,0.02853632600487085,32.18425345198484,19.93017846465836,0.001656777663167558,2.744912225170955e-06,0.17764417784532863,0.060772862652341955
stock_73,0.034047090952645465,32.260090712735945,23.28074641327729,0.0006009003736265581,3.610812590245372e-07,0.21034680925578625,0.07259438977282782
stock_15,0.03302921396446807,32.464128899049136,23.3790617890538,0.0005752531145320597,3.30916145778835e-07,0.2089811112690036,0.07159577271767767
stock_20,0.03308111682121672,33.08108903392253,22.72859973999625,0.0005915642307718253,3.4994823912866144e-07,0.20136545137109974,0.07174088671783481
stock_101,0.03301214781298963,33.164505650938146,22.303848808488805,0.000671099851400232,4.503750105494134e-07,0.1989440416395343,0.07114332627779096
stock_17,0.03532021587563053,33.31211519315856,24.112474338167527,0.0006407088655055394,4.1050785033739543e-07,0.21518059216873997,0.07582880648999507
stock_95,0.031680526410677624,33.39437773822983,21.427882804999467,0.0004931668474680886,2.43213539441613e-07,0.19387204891907342,0.06793085590717993
stock_113,0.031909547817327855,33.86513293068012,22.730093968058267,0.0005320240308990065,2.8304956945402703e-07,0.1999780961908943,0.07069012641142212
stock_39,0.03462132213458206,33.883232073987735,23.795460269728665,0.0005047061813496143,2.547283294925098e-07,0.2114473934539333,0.07513869749364403
stock_32,0.034915201227733415,34.064188820018835,21.530502783315804,0.00040337570238717406,1.6271195727634602e-07,0.19401809768768843,0.07191254555010108
stock_109,0.03473080320446896,34.91393811356052,24.115799302347522,0.000618878065557749,3.8301006002850154e-07,0.21332408489906246,0.07544426973854829
stock_34,0.035473532981273675,35.16017261008867,24.59854922382238,0.0005233060626801838,2.7384923523783643e-07,0.21622215763374106,0.07799526787395167
stock_52,0.035941504180257954,36.10487644290539,24.364769614419117,0.000756430822507747,5.721875892397467e-07,0.21400864332288486,0.07909672255602931
stock_87,0.03790344343696433,36.169244959942255,24.830938997555478,0.0007552586532723353,5.704156333427416e-07,0.2192931566159208,0.08215897289102778
stock_59,0.0399433840153829,36.74684126069466,26.27677413289544,0.0006539855316906947,4.2769707566076064e-07,0.23159777616464064,0.08718186644259433
stock_125,0.03993255735662401,36.99044583585046,25.2205057189475,0.00037731350479474273,1.4236548090049236e-07,0.22344866382629294,0.08554382016930052
stock_99,0.041797396336515996,37.1943349760587,25.571625594602825,0.0004428650925566439,1.961294902052048e-07,0.22793562294882647,0.0885473519035819
stock_13,0.04065427873547811,37.23658718667003,24.93060895666242,0.0006365770187693959,4.0523030082533187e-07,0.22205490695359703,0.08651544622091295
stock_56,0.020029551406503324,38.316263258303124,17.416541612190947,0.0006456274514297075,4.1683480603961925e-07,0.155594785195143,0.04493885683528266
stock_28,0.044115169785830015,38.56042169065639,26.178898006354302,0.0008298841272084609,6.887076645925489e-07,0.2304275913512104,0.09377674737287667
stock_22,0.04591953616729192,38.93961438225196,27.1547336423395,0.0008870103893419845,7.867874308006189e-07,0.2412731400624896,0.09767349960919376
stock_23,0.046519677915371434,39.04998232421887,28.178617335619965,0.0008480850727766436,7.192482906665648e-07,0.24966034867920847,0.09996473717742813
stock_68,0.0422016511190543,39.08080887193297,26.71538139370069,0.0005958357292709104,3.5502021627579774e-07,0.23287319942103715,0.09249314068748389
stock_53,0.041116098025953875,39.87244149589145,26.561121108910235,0.00041611100070443406,1.731483649072455e-07,0.22901430066067247,0.09148567421459226
stock_85,0.04082467460256254,40.03842167598768,26.37673597274621,0.0004887947164016101,2.3892027478213044e-07,0.22909598228836933,0.09035229983054298
stock_46,0.04601646899313853,40.10737789034421,27.44988722560829,0.0003269168847901132,1.0687464956087215e-07,0.24082607730748165,0.0991066635274619
stock_2,0.03178889393514693,40.624900174024916,22.964081278880485,0.0006068723991218058,3.682941088158563e-07,0.19963392747613767,0.07168166217228461
